Date : 2023-10-19 16:33:43
Directory : c:\xampp\htdocs\licor-house
Total : 305 files,  116207 codes, 13229 comments, 23039 blanks, all 152475 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         24 |     52,622 |        141 |     13,085 |     65,848 |
| JavaScript |         56 |     36,754 |     11,458 |      8,377 |     56,589 |
| JSON       |          5 |     11,029 |          0 |          5 |     11,034 |
| XML        |          4 |      9,581 |          2 |          4 |      9,587 |
| PHP        |        213 |      6,172 |      1,628 |      1,542 |      9,342 |
| Markdown   |          3 |         49 |          0 |         26 |         75 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        305 |    116,207 |     13,229 |     23,039 |    152,475 |
| . (Files)                                                                                                   |          9 |     11,083 |          8 |         33 |     11,124 |
| app                                                                                                         |         41 |      1,006 |        226 |        274 |      1,506 |
| app\Actions                                                                                                 |          6 |        128 |         33 |         34 |        195 |
| app\Actions\Fortify                                                                                         |          5 |        115 |         30 |         30 |        175 |
| app\Actions\Jetstream                                                                                       |          1 |         13 |          3 |          4 |         20 |
| app\Console                                                                                                 |          1 |         15 |          7 |          6 |         28 |
| app\Exceptions                                                                                              |          1 |         17 |          9 |          5 |         31 |
| app\Http                                                                                                    |         17 |        535 |         85 |        132 |        752 |
| app\Http (Files)                                                                                            |          1 |         41 |         21 |          7 |         69 |
| app\Http\Controllers                                                                                        |          7 |        394 |          7 |         86 |        487 |
| app\Http\Middleware                                                                                         |          9 |        100 |         57 |         39 |        196 |
| app\Models                                                                                                  |          7 |        148 |         25 |         45 |        218 |
| app\Providers                                                                                               |          7 |        141 |         61 |         44 |        246 |
| app\View                                                                                                    |          2 |         22 |          6 |          8 |         36 |
| app\View\Components                                                                                         |          2 |         22 |          6 |          8 |         36 |
| bootstrap                                                                                                   |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                      |         18 |        844 |      1,137 |        322 |      2,303 |
| database                                                                                                    |          9 |        228 |         64 |         42 |        334 |
| database\factories                                                                                          |          1 |         48 |         14 |          7 |         69 |
| database\migrations                                                                                         |          7 |        171 |         41 |         30 |        242 |
| database\seeders                                                                                            |          1 |          9 |          9 |          5 |         23 |
| lang                                                                                                        |         51 |        967 |         80 |        167 |      1,214 |
| lang\vendor                                                                                                 |         51 |        967 |         80 |        167 |      1,214 |
| lang\vendor\adminlte                                                                                        |         51 |        967 |         80 |        167 |      1,214 |
| lang\vendor\adminlte\ar                                                                                     |          1 |         20 |          0 |          2 |         22 |
| lang\vendor\adminlte\bn                                                                                     |          3 |         54 |         10 |         11 |         75 |
| lang\vendor\adminlte\ca                                                                                     |          1 |         20 |          0 |          2 |         22 |
| lang\vendor\adminlte\de                                                                                     |          3 |         52 |         10 |         11 |         73 |
| lang\vendor\adminlte\en                                                                                     |          3 |         54 |         10 |         11 |         75 |
| lang\vendor\adminlte\es                                                                                     |          3 |         54 |         10 |         11 |         75 |
| lang\vendor\adminlte\fa                                                                                     |          3 |         54 |         10 |         10 |         74 |
| lang\vendor\adminlte\fr                                                                                     |          3 |         54 |         10 |         11 |         75 |
| lang\vendor\adminlte\hr                                                                                     |          1 |         20 |          0 |          3 |         23 |
| lang\vendor\adminlte\hu                                                                                     |          1 |         20 |          0 |          2 |         22 |
| lang\vendor\adminlte\id                                                                                     |          2 |         43 |          0 |          6 |         49 |
| lang\vendor\adminlte\it                                                                                     |          3 |         47 |         10 |         10 |         67 |
| lang\vendor\adminlte\ja                                                                                     |          2 |         42 |          0 |          6 |         48 |
| lang\vendor\adminlte\la                                                                                     |          2 |         37 |          0 |          6 |         43 |
| lang\vendor\adminlte\nl                                                                                     |          1 |         20 |          0 |          3 |         23 |
| lang\vendor\adminlte\pl                                                                                     |          2 |         43 |          0 |          6 |         49 |
| lang\vendor\adminlte\pt-br                                                                                  |          2 |         43 |          0 |          6 |         49 |
| lang\vendor\adminlte\ru                                                                                     |          2 |         37 |          0 |          7 |         44 |
| lang\vendor\adminlte\sk                                                                                     |          3 |         54 |         10 |         11 |         75 |
| lang\vendor\adminlte\sr                                                                                     |          2 |         45 |          0 |          6 |         51 |
| lang\vendor\adminlte\tr                                                                                     |          2 |         43 |          0 |          7 |         50 |
| lang\vendor\adminlte\uk                                                                                     |          2 |         37 |          0 |          7 |         44 |
| lang\vendor\adminlte\vi                                                                                     |          2 |         37 |          0 |          6 |         43 |
| lang\vendor\adminlte\zh-CN                                                                                  |          2 |         37 |          0 |          6 |         43 |
| public                                                                                                      |         52 |     93,477 |     10,405 |     20,376 |    124,258 |
| public (Files)                                                                                              |          1 |         14 |         30 |         12 |         56 |
| public\css                                                                                                  |          4 |        263 |         12 |         60 |        335 |
| public\js                                                                                                   |          1 |         77 |          9 |         24 |        110 |
| public\vendor                                                                                               |         46 |     93,123 |     10,354 |     20,280 |    123,757 |
| public\vendor\adminlte                                                                                      |          5 |     45,900 |        367 |      9,892 |     56,159 |
